,costOfRevenue,currency,ebit,filingType,fiscalDate,fiscalQuarter,fiscalYear,grossProfit,incomeTax,interestIncome,minorityInterest,netIncome,netIncomeBasic,operatingExpense,operatingIncome,otherIncomeExpenseNet,pretaxIncome,reportDate,researchAndDevelopment,sellingGeneralAndAdmin,symbol,totalRevenue,id,key,subkey,date,updated
0,0.0,USD,12069000000.0,10-Q,2023-06-30,2,2023,80795000000.0,3503000000.0,249000000.0,273000000.0,7880000000.0,7880000000.0,70845000000.0,9950000000.0,737000000.0,11656000000.0,2023-08-01,0.0,2449000000.0,XOM,80795000000.0,INCOME,XOM,quarterly,1688083200000,1691589115000.0
1,28984000000.0,USD,7556000000.0,10-Q,2023-06-30,2,2023,18232000000.0,1829000000.0,120000000.0,-2000000.0,6010000000.0,6010000000.0,40900000000.0,6316000000.0,0.0,7837000000.0,2023-08-03,0.0,1128000000.0,CVX,47216000000.0,INCOME,CVX,quarterly,1688083200000,1691758133000.0
2,35807000000.0,USD,5272000000.0,6-K,2023-06-30,2,2023,12731000000.0,1541000000.0,920000000.0,161000000.0,1792000000.0,1792000000.0,43857000000.0,4681000000.0,0.0,3494000000.0,2023-08-01,0.0,3834000000.0,BP,48538000000.0,INCOME,BP,quarterly,1688083200000,1691598096000.0
3,6502000000.0,USD,1401000000.0,10-Q,2023-06-30,2,2023,1597000000.0,246000000.0,108000000.0,14000000.0,1033000000.0,1033000000.0,6761000000.0,1338000000.0,0.0,1293000000.0,2023-07-26,163000000.0,96000000.0,SLB,8099000000.0,INCOME,SLB,quarterly,1688083200000,1691076369000.0
4,45384000000.0,USD,22998000000.0,10-Q,2023-07-01,3,2023,36413000000.0,2852000000.0,998000000.0,0.0,19881000000.0,19881000000.0,58799000000.0,22998000000.0,0.0,22733000000.0,2023-08-04,7442000000.0,5973000000.0,AAPL,81797000000.0,INCOME,AAPL,quarterly,1688169600000,1692028190000.0
5,10613000000.0,USD,4162000000.0,10-K,2023-06-30,4,2023,9940000000.0,841000000.0,124000000.0,8000000.0,3312000000.0,3312000000.0,16391000000.0,4162000000.0,0.0,4233000000.0,2023-08-04,0.0,5778000000.0,PG,20553000000.0,INCOME,PG,quarterly,1688083200000,1693322555000.0
6,4912000000.0,USD,4277000000.0,10-Q,2023-06-30,2,2023,7060000000.0,359000000.0,150000000.0,-26000000.0,2547000000.0,2547000000.0,8233000000.0,3739000000.0,0.0,2880000000.0,2023-07-27,0.0,3321000000.0,KO,11972000000.0,INCOME,KO,quarterly,1688083200000,1691151222000.0
7,3228000000.0,USD,2545000000.0,10-Q,2023-06-30,2,2023,5739000000.0,560000000.0,297000000.0,114000000.0,1563000000.0,1563000000.0,6401000000.0,2566000000.0,0.0,2242000000.0,2023-07-27,0.0,3173000000.0,PM,8967000000.0,INCOME,PM,quarterly,1688083200000,1693236390000.0
8,58628716262.8645,USD,9082256453.8195,6-K,2023-06-30,1,2024,14255829086.404,2720433159.1005,0.0,107238124.393,9062319478.122,9062319478.122,65138487811.555,7746057537.713493,0.0,11889997672.179,2023-08-01,0.0,6509771548.6905,TM,72884545349.2685,INCOME,TM,quarterly,1688083200000,1691588144000.0
9,10121000000.0,USD,3659000000.0,10-Q,2023-06-17,2,2023,12201000000.0,747000000.0,201000000.0,23000000.0,2748000000.0,2748000000.0,18663000000.0,3659000000.0,0.0,3518000000.0,2023-07-13,0.0,8542000000.0,PEP,22322000000.0,INCOME,PEP,quarterly,1686960000000,1693236362000.0
10,1681000000.0,USD,3032000000.0,10-Q,2023-06-30,2,2023,4827000000.0,689000000.0,257000000.0,0.0,2113000000.0,2113000000.0,3476000000.0,3032000000.0,0.0,2806000000.0,2023-08-01,0.0,852000000.0,MO,6508000000.0,INCOME,MO,quarterly,1688083200000,1691601821000.0
11,8212000000.0,USD,6824000000.0,10-Q,2023-07-02,2,2023,17318000000.0,1618000000.0,-23000000.0,0.0,5144000000.0,5144000000.0,18706000000.0,6824000000.0,0.0,6762000000.0,2023-07-31,3829000000.0,6665000000.0,JNJ,25530000000.0,INCOME,JNJ,quarterly,1688256000000,1694617524000.0
12,3237000000.0,USD,2604000000.0,10-Q,2023-07-02,2,2023,9497000000.0,-71000000.0,192000000.0,11000000.0,2327000000.0,2327000000.0,10566000000.0,2168000000.0,280000000.0,2268000000.0,2023-08-09,2648000000.0,3497000000.0,PFE,12734000000.0,INCOME,PFE,quarterly,1688256000000,1692274298000.0
13,4341000000.0,USD,3381000000.0,6-K,2023-06-30,2,2023,9595000000.0,452000000.0,224000000.0,1000000.0,2316000000.0,2316000000.0,10555000000.0,3381000000.0,0.0,2769000000.0,2023-07-18,2526000000.0,3686000000.0,NVS,13936000000.0,INCOME,NVS,quarterly,1688083200000,1690383864000.0
14,9748000000.0,USD,8057000000.0,10-Q,2023-06-30,2,2023,83155000000.0,1572000000.0,828000000.0,183000000.0,5474000000.0,5474000000.0,84846000000.0,8057000000.0,0.0,7229000000.0,2023-08-02,0.0,0.0,UNH,92903000000.0,INCOME,UNH,quarterly,1688083200000,1694617670000.0
15,4024000000.0,USD,-5012000000.0,10-Q,2023-06-30,2,2023,11011000000.0,637000000.0,168000000.0,3000000.0,-5975000000.0,-5975000000.0,20047000000.0,-5012000000.0,0.0,-5335000000.0,2023-08-07,13321000000.0,2702000000.0,MRK,15035000000.0,INCOME,MRK,quarterly,1688083200000,1692115922000.0
16,1813000000.0,USD,2684000000.0,10-Q,2023-06-30,2,2023,5173000000.0,235000000.0,752000000.0,0.0,1379000000.0,1379000000.0,4220000000.0,2766000000.0,-82000000.0,1614000000.0,2023-08-04,1113000000.0,1294000000.0,AMGN,6986000000.0,INCOME,AMGN,quarterly,1688083200000,1692028480000.0
17,2628000000.0,USD,1363000000.0,10-Q,2023-07-28,1,2024,5074000000.0,400000000.0,148000000.0,6000000.0,791000000.0,791000000.0,6339000000.0,1363000000.0,0.0,1197000000.0,2023-08-31,668000000.0,2613000000.0,MDT,7702000000.0,INCOME,MDT,quarterly,1690502400000,1694185486000.0
18,4240000000.0,USD,4624000000.0,10-Q,2023-06-30,2,2023,9625000000.0,583000000.0,454000000.0,3000000.0,2013000000.0,2013000000.0,9241000000.0,4624000000.0,0.0,2610000000.0,2023-08-07,1733000000.0,3268000000.0,ABBV,13865000000.0,INCOME,ABBV,quarterly,1688083200000,1692113285000.0
19,69373000000.0,USD,7672000000.0,10-Q,2023-06-30,2,2023,65010000000.0,804000000.0,179000000.0,0.0,6750000000.0,6750000000.0,126702000000.0,7681000000.0,0.0,7554000000.0,2023-08-04,0.0,13947000000.0,AMZN,134383000000.0,INCOME,AMZN,quarterly,1688083200000,1693321778000.0
20,19631361186.3987,USD,6533029925.1891,6-K,2023-06-30,1,2024,12661563918.8889,830506136.8662,246035029.5864,-171286719.0282,4734795199.4172,4734795199.4172,26152944414.5835,6139980690.704102,0.0,5381602536.1662,2023-08-10,1443249206.6265,4736450143.5624,BABA,32292925105.2876,INCOME,BABA,quarterly,1688083200000,1693321844000.0
21,121850000000.0,USD,7316000000.0,10-Q,2023-07-31,2,2024,39782000000.0,2674000000.0,494000000.0,162000000.0,7891000000.0,7891000000.0,154316000000.0,7316000000.0,0.0,10727000000.0,2023-09-01,0.0,32466000000.0,WMT,161632000000.0,INCOME,WMT,quarterly,1690761600000,1694531281000.0
22,0.0,USD,6629000000.0,10-Q,2023-06-30,2,2023,30513000000.0,1537000000.0,998000000.0,-59000000.0,4248000000.0,4248000000.0,23884000000.0,6629000000.0,0.0,5726000000.0,2023-07-27,0.0,11417000000.0,CMCSA,30513000000.0,INCOME,CMCSA,quarterly,1688083200000,1691150989000.0
23,28759000000.0,USD,6589000000.0,10-Q,2023-07-30,2,2024,14157000000.0,1502000000.0,469000000.0,0.0,4659000000.0,4659000000.0,36327000000.0,6589000000.0,0.0,6161000000.0,2023-08-22,0.0,6915000000.0,HD,42916000000.0,INCOME,HD,quarterly,1690675200000,1693408006000.0
24,14471000000.0,USD,2832000000.0,10-Q,2023-07-01,3,2023,7859000000.0,19000000.0,503000000.0,307000000.0,-460000000.0,-460000000.0,19689000000.0,2641000000.0,0.0,-134000000.0,2023-08-09,0.0,3874000000.0,DIS,22330000000.0,INCOME,DIS,quarterly,1688169600000,1692274061000.0
25,2091300000.0,USD,3127100000.0,10-Q,2023-06-30,2,2023,4406200000.0,506300000.0,293300000.0,0.0,2310400000.0,2310400000.0,3429200000.0,3068300000.0,25300000.0,2816700000.0,2023-08-02,0.0,618200000.0,MCD,6497500000.0,INCOME,MCD,quarterly,1688083200000,1691675453000.0
26,0.0,USD,3182000000.0,10-Q,2023-06-30,2,2023,13659000000.0,444000000.0,1298000000.0,190000000.0,1223000000.0,1223000000.0,10477000000.0,3182000000.0,0.0,1857000000.0,2023-07-28,0.0,895000000.0,CHTR,13659000000.0,INCOME,CHTR,quarterly,1688083200000,1691337075000.0
27,0.0,USD,2780000000.0,10-Q,2023-06-30,2,2023,22055000000.0,639000000.0,191000000.0,0.0,2081000000.0,2081000000.0,19275000000.0,2780000000.0,0.0,2720000000.0,2023-08-08,0.0,458000000.0,UPS,22055000000.0,INCOME,UPS,quarterly,1688083200000,1692201952000.0
28,1359000000.0,USD,2925000000.0,10-Q,2023-06-30,2,2023,5990000000.0,497000000.0,135000000.0,-231000000.0,2795000000.0,2795000000.0,4424000000.0,2925000000.0,0.0,3061000000.0,2023-07-26,0.0,0.0,NEE,7349000000.0,INCOME,NEE,quarterly,1688083200000,1691076163000.0
29,2118000000.0,USD,1419000000.0,10-Q,2023-06-30,2,2023,4460000000.0,119000000.0,727000000.0,16000000.0,-234000000.0,-234000000.0,5179000000.0,1399000000.0,0.0,870000000.0,2023-08-08,0.0,0.0,DUK,6578000000.0,INCOME,DUK,quarterly,1688083200000,1692200015000.0
30,1181000000.0,USD,843000000.0,10-Q,2023-06-30,2,2023,2613000000.0,121000000.0,0.0,0.0,599000000.0,599000000.0,3041000000.0,753000000.0,0.0,707000000.0,2023-08-04,0.0,0.0,D,3794000000.0,INCOME,D,quarterly,1688083200000,1692029896000.0
31,1517000000.0,USD,1319000000.0,10-Q,2023-06-30,2,2023,4231000000.0,98000000.0,610000000.0,-15000000.0,838000000.0,838000000.0,4458000000.0,1290000000.0,0.0,921000000.0,2023-08-03,0.0,0.0,SO,5748000000.0,INCOME,SO,quarterly,1688083200000,1691760678000.0
32,1424600000.0,USD,894100000.0,10-Q,2023-06-30,2,2023,2947900000.0,28600000.0,460000000.0,-5100000.0,521200000.0,521200000.0,3497800000.0,874700000.0,0.0,544700000.0,2023-07-27,0.0,0.0,AEP,4372500000.0,INCOME,AEP,quarterly,1688083200000,1691150852000.0
33,946000000.0,USD,794000000.0,10-Q,2023-06-30,2,2023,4344000000.0,-335000000.0,497000000.0,0.0,406000000.0,406000000.0,4496000000.0,794000000.0,0.0,75000000.0,2023-07-27,0.0,0.0,PCG,5290000000.0,INCOME,PCG,quarterly,1688083200000,1691151355000.0
34,1727000000.0,USD,704000000.0,10-Q,2023-06-30,2,2023,3091000000.0,73000000.0,427000000.0,0.0,343000000.0,343000000.0,4114000000.0,704000000.0,0.0,416000000.0,2023-08-02,0.0,0.0,EXC,4818000000.0,INCOME,EXC,quarterly,1688083200000,1691673585000.0
35,480000000.0,USD,1180000000.0,10-Q,2023-06-30,2,2023,2855000000.0,175000000.0,300000000.0,121000000.0,603000000.0,603000000.0,2543000000.0,792000000.0,0.0,911000000.0,2023-08-03,0.0,0.0,SRE,3335000000.0,INCOME,SRE,quarterly,1688083200000,1691760708000.0
36,507000000.0,USD,305000000.0,10-Q,2023-06-30,2,2023,1316000000.0,33000000.0,157000000.0,0.0,112000000.0,112000000.0,1518000000.0,305000000.0,0.0,145000000.0,2023-08-04,0.0,0.0,PPL,1823000000.0,INCOME,PPL,quarterly,1688083200000,1692033152000.0
37,2310000000.0,USD,-416000000.0,10-Q,2023-06-30,2,2023,572000000.0,2000000.0,136000000.0,-150000000.0,-264000000.0,-264000000.0,2801000000.0,81000000.0,0.0,-417000000.0,2023-08-04,0.0,215000000.0,IEP,2882000000.0,INCOME,IEP,quarterly,1688083200000,1692031476000.0
38,287269000.0,USD,45075000.0,10-Q,2023-06-30,2,2023,236890000.0,4444000.0,26615000.0,3517000.0,-33454000.0,-33454000.0,479084000.0,45075000.0,0.0,17335000.0,2023-08-02,0.0,148218000.0,CODI,524159000.0,INCOME,CODI,quarterly,1688083200000,1691684783000.0
39,193625000.0,USD,12781000.0,10-Q,2023-07-31,2,2024,18352000.0,3768000.0,0.0,3229000.0,9055000.0,9055000.0,202243000.0,9734000.0,0.0,16052000.0,2023-09-01,0.0,8618000.0,REX,211977000.0,INCOME,REX,quarterly,1690761600000,1694531217000.0
40,83876785.8228,USD,492489148.842,6-K,2023-06-30,2,2023,1253554076.5713,104445098.7507,0.0,0.0,413516338.8453,413516338.8453,998991791.4384,338439070.9556999,149296744.6281,517961437.596,2023-07-28,0.0,292783168.0629,BCH,1337430862.3941,INCOME,BCH,quarterly,1688083200000,1691336977000.0
41,2899000000.0,USD,17586000000.0,10-Q,2023-06-30,2,2023,58273000000.0,3114000000.0,0.0,0.0,14011000000.0,14011000000.0,43586000000.0,17586000000.0,0.0,17586000000.0,2023-08-03,0.0,2192000000.0,JPM,61172000000.0,INCOME,JPM,quarterly,1688083200000,1691759235000.0
42,1713000000.0,USD,5833000000.0,10-Q,2023-06-30,2,2023,26487000000.0,930000000.0,0.0,-35000000.0,4659000000.0,4659000000.0,22367000000.0,5833000000.0,0.0,5833000000.0,2023-08-01,0.0,1838000000.0,WFC,28200000000.0,INCOME,WFC,quarterly,1688083200000,1691588905000.0
43,1125000000.0,USD,8034000000.0,10-Q,2023-06-30,2,2023,42268000000.0,626000000.0,0.0,0.0,7102000000.0,7102000000.0,35359000000.0,8034000000.0,0.0,8034000000.0,2023-07-31,0.0,2289000000.0,BAC,43393000000.0,INCOME,BAC,quarterly,1688083200000,1691510800000.0
44,0.0,USD,5481000000.0,10-Q,2023-06-30,3,2023,8123000000.0,990000000.0,182000000.0,0.0,4156000000.0,4156000000.0,2642000000.0,5481000000.0,0.0,5146000000.0,2023-07-26,0.0,611000000.0,V,8123000000.0,INCOME,V,quarterly,1688083200000,1691076529000.0
45,1809000000.0,USD,4042000000.0,10-Q,2023-06-30,2,2023,36444000000.0,1090000000.0,0.0,36000000.0,2594000000.0,2594000000.0,34211000000.0,4042000000.0,0.0,4042000000.0,2023-08-04,0.0,956000000.0,C,38253000000.0,INCOME,C,quarterly,1688083200000,1692029196000.0
46,1345000000.0,USD,18020000000.0,6-K,2023-06-30,2,2023,35604000000.0,3586000000.0,0.0,563000000.0,16966000000.0,16966000000.0,20512000000.0,16437000000.0,0.0,21657000000.0,2023-08-01,0.0,4912000000.0,HSBC,36949000000.0,INCOME,HSBC,quarterly,1688083200000,1691600586000.0
47,0.0,USD,3676000000.0,10-Q,2023-06-30,2,2023,6269000000.0,859000000.0,144000000.0,0.0,2845000000.0,2845000000.0,2593000000.0,3676000000.0,0.0,3704000000.0,2023-07-27,0.0,2401000000.0,MA,6269000000.0,INCOME,MA,quarterly,1688083200000,1691151251000.0
48,12362000000.0,USD,947000000.0,10-Q,2023-06-30,2,2023,4336000000.0,333000000.0,267000000.0,4000000.0,-23000000.0,-23000000.0,15910000000.0,788000000.0,91000000.0,1389000000.0,2023-07-25,455000000.0,2358000000.0,GE,16698000000.0,INCOME,GE,quarterly,1688083200000,1690981366000.0
49,4606000000.0,USD,-8955000000.0,10-Q,2023-06-30,2,2023,3719000000.0,-2184000000.0,96000000.0,5000000.0,-6841000000.0,-6841000000.0,17283000000.0,-8958000000.0,0.0,-9020000000.0,2023-07-25,473000000.0,12204000000.0,MMM,8325000000.0,INCOME,MMM,quarterly,1688083200000,1690981631000.0
50,17812000000.0,USD,-144000000.0,10-Q,2023-06-30,2,2023,1939000000.0,-251000000.0,621000000.0,0.0,-149000000.0,-149000000.0,19895000000.0,-144000000.0,0.0,-400000000.0,2023-07-26,797000000.0,1286000000.0,BA,19751000000.0,INCOME,BA,quarterly,1688083200000,1693321839000.0
51,5626000000.0,USD,1897000000.0,10-Q,2023-06-30,2,2023,3520000000.0,403000000.0,111000000.0,14000000.0,1487000000.0,1487000000.0,7263000000.0,1883000000.0,0.0,1904000000.0,2023-07-27,375000000.0,1262000000.0,HON,9146000000.0,INCOME,HON,quarterly,1688083200000,1693408011000.0
52,14603000000.0,USD,2090000000.0,10-Q,2023-06-25,2,2023,2090000000.0,325000000.0,223000000.0,0.0,1681000000.0,1681000000.0,14603000000.0,2090000000.0,0.0,2006000000.0,2023-07-19,0.0,0.0,LMT,16693000000.0,INCOME,LMT,quarterly,1687651200000,1690470254000.0
53,11065000000.0,USD,3676000000.0,10-Q,2023-06-30,2,2023,6253000000.0,752000000.0,127000000.0,2000000.0,2922000000.0,2922000000.0,13666000000.0,3652000000.0,0.0,3676000000.0,2023-08-02,528000000.0,1528000000.0,CAT,17318000000.0,INCOME,CAT,quarterly,1688083200000,1691684380000.0
54,8585000000.0,USD,962000000.0,10-Q,2023-07-02,2,2023,1567000000.0,142000000.0,89000000.0,0.0,744000000.0,744000000.0,9190000000.0,962000000.0,0.0,886000000.0,2023-07-26,0.0,605000000.0,GD,10152000000.0,INCOME,GD,quarterly,1688256000000,1693322168000.0
55,3116000000.0,USD,1429000000.0,10-Q,2023-06-30,2,2023,4041000000.0,286000000.0,8000000.0,0.0,1106000000.0,1106000000.0,5728000000.0,1429000000.0,0.0,1392000000.0,2023-07-25,418000000.0,2194000000.0,DHR,7157000000.0,INCOME,DHR,quarterly,1688083200000,1690981206000.0
56,5170000000.0,USD,621000000.0,20-F,2021-12-31,4,2021,2397000000.0,282000000.0,0.0,28000000.0,2641000000.0,2641000000.0,6946000000.0,621000000.0,0.0,2985000000.0,2022-02-25,322000000.0,1354000000.0,ABB,7567000000.0,INCOME,ABB,quarterly,1640908800000,1678029990000.0
57,16795000000.0,USD,24254000000.0,10-K,2023-06-30,4,2023,39394000000.0,4646000000.0,482000000.0,0.0,20081000000.0,20081000000.0,31935000000.0,24254000000.0,0.0,24727000000.0,2023-07-27,6739000000.0,8401000000.0,MSFT,56189000000.0,INCOME,MSFT,quarterly,1688083200000,1691151288000.0
58,6005000000.0,USD,8524000000.0,10-Q,2022-03-31,1,2022,21903000000.0,1443000000.0,-76000000.0,0.0,7465000000.0,7465000000.0,19384000000.0,8524000000.0,0.0,8908000000.0,2022-04-28,7707000000.0,5672000000.0,FB,27908000000.0,INCOME,FB,quarterly,1648684800000,1652531943248.219
59,11827000000.0,USD,6786000000.0,10-Q,2023-06-30,2,2023,18090000000.0,1403000000.0,1608000000.0,273000000.0,4437000000.0,4437000000.0,23511000000.0,6406000000.0,0.0,6165000000.0,2023-07-27,0.0,7009000000.0,T,29917000000.0,INCOME,T,quarterly,1688083200000,1693408247000.0
60,3730000000.0,USD,4320000000.0,10-K,2023-05-31,4,2023,10106000000.0,-210000000.0,849000000.0,0.0,3318000000.0,3318000000.0,9516000000.0,4320000000.0,0.0,3108000000.0,2023-06-20,2226000000.0,2690000000.0,ORCL,13836000000.0,INCOME,ORCL,quarterly,1685491200000,1688051442000.0
61,7087422976.6446,USD,6525227494.9964,6-K,2023-06-30,2,2023,8358115546.948,1058670728.0389,-342318419.5137,-2634478.2846,5839731427.0521,5839731427.0521,8956743279.065,6488795244.527599,0.0,6895767676.8064,2023-08-14,1338368226.7104,530952075.71,TSM,15445538523.5926,INCOME,TSM,quarterly,1688083200000,1692716965000.0
62,12764000000.0,USD,7187000000.0,10-Q,2023-06-30,2,2023,19832000000.0,1346000000.0,1193000000.0,118000000.0,4648000000.0,4648000000.0,25409000000.0,7187000000.0,0.0,6112000000.0,2023-07-28,0.0,8253000000.0,VZ,32596000000.0,INCOME,VZ,quarterly,1688083200000,1693408292000.0
63,8311000000.0,USD,-816000000.0,10-Q,2023-07-01,2,2023,4638000000.0,-2289000000.0,-99000000.0,-8000000.0,1481000000.0,1481000000.0,13765000000.0,-816000000.0,0.0,-816000000.0,2023-07-28,4080000000.0,1374000000.0,INTC,12949000000.0,INCOME,INTC,quarterly,1688169600000,1693322273000.0
64,5455000000.0,USD,4456000000.0,10-K,2023-07-29,4,2023,9748000000.0,513000000.0,-201000000.0,0.0,3958000000.0,3958000000.0,10747000000.0,4456000000.0,0.0,4471000000.0,2023-09-07,1953000000.0,3269000000.0,CSCO,15203000000.0,INCOME,CSCO,quarterly,1690588800000,1694671615000.0
